plot,fire.type,seedling.ct,seedling.area,prop.bom
1,sev.surf,3,4,0
2,sev.surf,68,4,0
3,surface,15,4,0.404761905
4,sev.surf,6,4,1
5,crown,15,4,0
6,surface,0,4,0.8
7,crown,4,4,1
8,crown,6,4,1
9,crown,6,4,1
10,crown,5,4,0
11,crown,3,4,1
12,surface,13,4,0.5
13,surface,8,4,0.666666667
14,surface,0,4,0.7
15,sev.surf,49,100,1
16,crown,69,100,0.833333333
17,sev.surf,111,52,0.875
18,surface,26,52,0.928571429
19,sev.surf,33,52,0.833333333
20,sev.surf,66,52,1
21,crown,119,52,0
22,crown,85,52,0.153846154
23,surface,94,52,1
24,surface,33,52,0.833333333
25,crown,107,52,0
26,crown,106,52,0
27,sev.surf,374,52,0.909090909
28,surface,14,52,0.909090909
29,sev.surf,7,52,0.16
30,sev.surf,74,52,0.777777778
31,sev.surf,22,51,0
32,surface,0,52,0.266666667
33,crown,6,52,0
34,crown,538,52,0
35,sev.surf,25,52,1
36,crown,1,52,0.096774194
37,surface,134,52,0.9375
38,crown,68,52,0.75
39,surface,12,52,0.5
40,crown,200,52,0.6
41,crown,3,52,1
42,surface,143,52,0.518518519
43,surface,17,52,0.611111111
44,surface,9,52,0.944444444
45,sev.surf,29,52,1
46,surface,23,52,1
47,surface,33,52,0.714285714
48,sev.surf,2,52,0.9
49,surface,6,52,0.916666667
50,sev.surf,39,52,0.85
51,sev.surf,15,52,1
52,sev.surf,11,52,0.818181818
53,sev.surf,60,52,0.833333333
54,surface,10,52,0.923076923
55,surface,10,52,0.368421053
56,crown,20,52,0.636363636
57,crown,28,52,0.555555556
58,crown,39,51,0
59,surface,27,52,0.709677419
60,sev.surf,46,52,0.55
61,surface,3,52,0.25
62,sev.surf,96,52,0.615384615
63,crown,17,51,0.866666667
64,unburned,10,100,1
65,unburned,7,100,0.916666667
66,unburned,40,100,0.5
67,unburned,14,100,1
68,unburned,37,100,0.692307692
69,unburned,22,100,1
70,unburned,21,100,1
71,unburned,3,100,0.692307692
72,surface,6,100,0.4
73,surface,42,100,0.5
74,unburned,69,100,0.407407407
75,surface,34,100,0.555555556
76,unburned,61,100,0.7
77,unburned,13,100,0.545454545
78,unburned,28,100,0.8
79,unburned,25,100,0.5
80,unburned,13,100,0.916666667
81,unburned,48,100,0.8
82,unburned,24,100,0.25
83,unburned,35,100,0.730769231
